canonical_smiles,molecule_chembl_id,assay_chembl_id,standard_value,value,pchembl_value,assay_type,document_chembl_id,type,units,uo_units,exp_value,exp_standard_value,exp_pchembl_value,qvina_affinity_min,qvina_rmsd_lb_min,qvina_rmsd_ub_min,qvina_affinity_bestpose,qvina_rmsd_lb_bestpose,qvina_rmsd_ub_bestpose,qvina_max_affinity,qvina_lb_affinity,qvina_ub_affinity,gnina_affinity_min,gnina_intramol_min,gnina_cnn_pose_score_min,gnina_cnn_affinity_min,gnina_affinity_bestpose,gnina_intramol_bestpose,gnina_cnn_pose_score_bestpose,gnina_cnn_affinity_bestpose,plapt_affinity,plapt_affinity_uM,dynamicbind_affinity_maxaff,dynamicbind_lddt_maxaff,dynamicbind_lddt_bestpose,dynamicbind_affinity_bestpose,boltz2_affinity_pred_value,boltz2_affinity_probability_binary,boltz2_affinity_pred_value1,boltz2_affinity_probability_binary1,boltz2_affinity_pred_value2,boltz2_affinity_probability_binary2,protein_pdb_id,pValue,activity_class,clogp,hba,mv,qed,rotbonds,tpsa
Cc1ccc(NC(=O)c2ccc(C3CCN(C)C3)cc2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3689559,CHEMBL3705971,0.7,0.7,9.15,B,CHEMBL3638510,Ki,nM,UO_0000065,0.7,0.7,9.15,-11.1,0.0,0.0,-11.1,0.0,0.0,-8.1,-8.9,-8.9,-11.41,-0.33,0.287,6.962,-10.67,0.85,0.7358,8.074,6.537006565653411,0.2903978751852475,7.870281070026381,,,7.870281070026381,-1.100810408592224,0.4870622158050537,-0.5938986539840698,0.3460188210010528,-1.6077221632003784,0.628105640411377,5MO4,9.154901959985745,high,6.230120000000006,4,152.51989999999972,0.3264462087702352,6,74.33000000000001
Cc1ccc(NC(=O)c2ccc(CN(C)C)cc2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3685177,CHEMBL3705971,0.1,0.1,10.0,B,CHEMBL3638510,Ki,nM,UO_0000065,0.1,0.1,10.0,-9.6,0.0,0.0,-9.6,0.0,0.0,-7.6,-8.5,-8.5,-12.44,0.94,0.9719,8.569,-12.44,0.94,0.9719,8.569,5.911723130632331,1.225397159713284,7.518430394271417,,,7.518430394271417,-1.5011277198791504,0.6069810390472412,-1.337446928024292,0.5355626940727234,-1.6648083925247192,0.678399384021759,5MO4,10.0,high,5.872620000000006,4,145.05589999999984,0.34824844137765903,7,74.33000000000001
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)c(Cl)c2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3685140,CHEMBL3705971,0.7,0.7,9.15,B,CHEMBL3638510,Ki,nM,UO_0000065,0.7,0.7,9.15,-9.8,0.0,0.0,-9.8,0.0,0.0,-8.5,-9.7,-9.7,-12.69,0.14,0.9733,8.923,-12.69,0.14,0.9733,8.923,8.173720463134961,0.0067031592440949,7.960402389648891,,,7.960402389648891,-1.8482955694198608,0.6759864091873169,-1.540862798690796,0.6180018186569214,-2.155728340148926,0.7339709997177124,5MO4,9.154901959985745,high,6.211820000000006,5,165.44889999999958,0.27746682311905735,7,77.57000000000001
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1-c1ccc2cc(N)ncc2c1,CHEMBL3689576,CHEMBL3705971,0.4,0.4,9.4,B,CHEMBL3638510,Ki,nM,UO_0000065,0.4,0.4,9.4,-11.0,0.0,0.0,-11.0,0.0,0.0,-8.2,-8.2,-8.2,-11.79,0.39,0.3005,7.118,-11.54,0.59,0.8736,8.337,6.545382572167575,0.2848507897203529,7.012214558352694,,,7.012214558352694,-1.0458126068115234,0.7387485504150391,-0.7529944181442261,0.7115451693534851,-1.3386306762695312,0.765951931476593,5MO4,9.397940008672036,high,4.792120000000004,5,143.49759999999986,0.4432287088715019,5,74.49000000000001
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3685139,CHEMBL3705971,0.3,0.3,9.52,B,CHEMBL3638510,Ki,nM,UO_0000065,0.3,0.3,9.52,-10.9,0.0,0.0,-10.9,0.0,0.0,-8.1,-9.8,-9.8,-13.21,0.72,0.9705,8.728,-13.21,0.72,0.9705,8.728,6.604396589052509,0.2486585580866548,7.338528479543634,,,7.338528479543634,-1.464983344078064,0.5924779772758484,-0.9818257689476012,0.4537479877471924,-1.9481408596038816,0.7312079668045044,5MO4,9.522878745280336,high,5.558420000000006,5,160.43889999999965,0.32537969452919907,7,77.57000000000001
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,CHEMBL941,CHEMBL1249638,2350.0,14.671,6.826666666666666,B,CHEMBL1240311,Ki,nM,UO_0000065,14.671,2350.0,6.826666666666666,-9.7,0.0,0.0,-9.7,0.0,0.0,-8.399999999999999,-9.4,-9.4,-11.44,0.51,0.9063,8.573,-11.44,0.51,0.9063,8.573,7.774904469326277,0.0167917334107224,6.96267150378587,,,6.96267150378587,0.5087276101112366,0.1983191817998886,0.8505082130432129,0.1882359087467193,0.1669470369815826,0.2084024548530578,5MO4,5.628932137728263,low,4.590320000000004,7,146.8938999999998,0.38941616262964607,7,86.28000000000002
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3685175,CHEMBL3705971,2.0,2.0,8.7,B,CHEMBL3638510,Ki,nM,UO_0000065,2.0,2.0,8.7,-10.4,0.0,0.0,-10.4,0.0,0.0,-8.8,-9.5,-9.5,-14.37,-0.32,0.9942,8.872,-14.37,-0.32,0.9942,8.872,6.626659579650002,0.2362329211892143,7.62362945929918,,,7.62362945929918,-1.0551284551620483,0.4569639563560486,-0.5328246355056763,0.2955873310565948,-1.5774322748184204,0.6183405518531799,5MO4,8.698970004336019,high,6.829820000000004,3,132.66689999999994,0.32282327040530095,5,71.09
Cc1ccc(NC(=O)c2cnn(C)c2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3685171,CHEMBL3705971,1.0,1.0,9.0,B,CHEMBL3638510,Ki,nM,UO_0000065,1.0,1.0,9.0,-10.3,0.0,0.0,-10.3,0.0,0.0,-7.9,-9.2,-9.2,-12.55,0.05,0.9536,8.281,-12.55,0.05,0.9536,8.281,5.649593619829147,2.240816946131215,7.768250148265444,,,7.768250148265444,-1.533005714416504,0.6434956789016724,-0.8843971490859985,0.4845750033855438,-2.18161416053772,0.8024163842201233,5MO4,9.0,high,4.544520000000003,5,124.43090000000002,0.49113336173600586,5,88.91000000000001
Cc1ccc(NS(=O)(=O)C2CCCC2)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3689599,CHEMBL3705971,10.0,10.0,8.0,B,CHEMBL3638510,Ki,nM,UO_0000065,10.0,10.0,8.0,-10.2,0.0,0.0,-10.2,0.0,0.0,-8.3,-8.9,-8.9,-11.78,-0.06,0.9488,8.131,-10.83,0.38,0.9576,8.238,7.042884338846401,0.0905973847408675,7.748924704654736,,,7.748924704654736,-0.7016258239746094,0.4422348141670227,-0.4981961250305176,0.3908567428588867,-0.905055582523346,0.4936129152774811,5MO4,8.0,high,5.243020000000004,4,128.06820000000002,0.5384132149587239,6,88.16000000000001
Cc1ccc(O)cc1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3685056,CHEMBL3705971,0.02,0.02,10.7,B,CHEMBL3638510,Ki,nM,UO_0000065,0.02,0.02,10.7,-9.3,0.0,0.0,-9.3,0.0,0.0,-7.6,-9.3,-9.3,-11.78,0.15,0.9835,7.619,-11.78,0.15,0.9835,7.619,6.689832888543515,0.2042523732812838,7.410587169886489,,,7.410587169886489,-0.784263551235199,0.454803854227066,-0.6068359613418579,0.3042789101600647,-0.96169114112854,0.6053287982940674,5MO4,10.69897000433602,high,4.264320000000002,3,94.93450000000001,0.7580588426337206,3,62.22
Cc1ccc2[nH]ncc2c1-c1cc2cnc(NC(=O)[C@@H]3C[C@@H]3F)cc2cn1,CHEMBL3689678,CHEMBL3705971,0.02,0.02,10.7,B,CHEMBL3638510,Ki,nM,UO_0000065,0.02,0.02,10.7,-9.2,0.0,0.0,-9.2,0.0,0.0,-7.4,-9.1,-9.1,-11.3,-0.33,0.9821,8.387,-11.3,-0.33,0.9821,8.387,5.516438201586827,3.044821225398578,8.270355849018141,,,8.270355849018141,-0.440041720867157,0.3348839282989502,-0.1136175692081451,0.1678951531648636,-0.7664659023284912,0.501872718334198,5MO4,10.69897000433602,high,3.7780200000000015,4,100.9954,0.581646454744818,3,83.56
Cc1ccc2[nH]ncc2c1-c1ccc2cc(NC(=O)C3CC3)ncc2c1,CHEMBL3689574,CHEMBL3705971,0.03,0.03,10.52,B,CHEMBL3638510,Ki,nM,UO_0000065,0.03,0.03,10.52,-9.9,0.0,0.0,-9.9,0.0,0.0,-7.5,-9.6,-9.6,-12.04,-0.35,0.9841,8.264,-12.04,-0.35,0.9841,8.264,5.435236834516784,3.670820644457606,8.46851931436752,,,8.46851931436752,-0.7918983697891235,0.4342193007469177,-0.5897746086120605,0.2929611206054687,-0.9940221905708312,0.5754774808883667,5MO4,10.522878745280336,high,4.435020000000002,3,102.92140000000002,0.5782627777648764,3,70.67
