target,method_id,metric,n_points,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,method_label,pearson_p_bh,spearman_p_bh,kendall_p_bh,pearson_ci_low,pearson_ci_high,pearson_perm_p,spearman_ci_low,spearman_ci_high,spearman_perm_p,kendall_ci_low,kendall_ci_high,kendall_perm_p,calibrated_rmse,calibrated_rmse_ci_low,calibrated_rmse_ci_high,calibrated_rmse_boot_mean,calibrated_mae,calibrated_mae_ci_low,calibrated_mae_ci_high,calibrated_mae_boot_mean
3lxk,gnina,gnina_cnn_affinity_bestpose,751,-0.19118656750151566,1.2961079077023624e-07,-0.23099390924796068,1.4885942983824458e-10,-0.16699052436605394,3.3218100059567767e-10,GNINA 1.3,2.592215815404725e-07,3.841533673245022e-10,8.304525014891942e-10,-0.25747567477672295,-0.12334289975911857,9.999000099990002e-05,-0.29820698208821517,-0.16235061493204492,9.999000099990002e-05,-0.2177001003595315,-0.11724059251107348,9.999000099990002e-05,1.161820375883389,1.114985817793486,1.2067755042655122,1.1601296316748082,1.0428942769190626,0.9971799146451308,1.0830143181407568,1.0407404096812816
3lxk,plapt,plapt_affinity,758,0.025352222049665557,0.48583257878882125,0.06951100568545908,0.055758426132391715,0.05189811667770582,0.04938668532457924,PLAPT,0.498289824398791,0.07194635629986028,0.06476942337649737,-0.045292083836617,0.09751590075961644,0.48385161483851613,-0.0037339692238058777,0.14201530452259364,0.0560943905609439,-0.0025998660993267184,0.10425473222312415,0.04789521047895211,1.1888912541496617,1.1460659325210736,1.2275924579297348,1.1873160156938867,1.0884230728074586,1.0495765710384841,1.1213308647368927,1.0856127668478017
3lxk,qvina,qvina_affinity_bestpose,751,-0.27363943574042204,2.3011038424801648e-14,-0.3007768907916067,3.6160839674292664e-17,-0.22632907174719685,7.610419310211938e-17,QVina2,6.574582407086185e-14,1.377555797115911e-16,2.8992073562712145e-16,-0.33900898947430047,-0.20564631522040178,9.999000099990002e-05,-0.3689287424856498,-0.22844732128783263,9.999000099990002e-05,-0.2787446680931564,-0.17167269001644758,9.999000099990002e-05,1.138477088467102,1.0903247305257713,1.1846921361178504,1.1369358743896647,0.9974199321667027,0.9431075194718297,1.0453818360357594,0.9950866480035687
3mjg,boltz2,boltz2_affinity_pred_value,274,0.7280301423961411,1.6692318700582214e-46,0.6036666953803425,1.3567296744927975e-28,0.4442570422857734,9.372127670875523e-28,Boltz-2,1.4837616622739748e-45,7.2358915972949205e-28,5.355501526214585e-27,0.6487661236951366,0.7934295357076792,9.999000099990002e-05,0.5060548392188907,0.6895217725090774,9.999000099990002e-05,0.36547621476777153,0.5172245432541006,9.999000099990002e-05,0.8147312372230109,0.7319825389919011,0.8875039062305409,0.8105819247472459,0.6225791173252617,0.5480146382888267,0.6941089463353455,0.6203444949262608
3mjg,dynamicbind,dynamicbind_affinity_bestpose,275,0.4989063078657021,1.0302721825019414e-18,0.2778517586824021,2.8810663831928465e-06,0.18000513053211567,9.321644127037864e-06,DynamicBind,3.74644430000706e-18,5.762132766385693e-06,1.7755512622929262e-05,0.3660016294707188,0.6061409015328509,9.999000099990002e-05,0.1428390520579816,0.4011615964571522,9.999000099990002e-05,0.08171514303959083,0.27407438101065185,9.999000099990002e-05,1.0320732465192943,0.9435427310903227,1.109517716140111,1.0265334580692889,0.8617002959492095,0.7814677214304006,0.9335760182116769,0.8573510298565549
3mjg,gnina,gnina_cnn_affinity_bestpose,268,0.3062276299674206,3.1692621218721486e-07,0.25069812875946795,3.304349425874974e-05,0.1729905336325179,2.6326668784487024e-05,GNINA 1.3,6.183926091457851e-07,5.7466946536956075e-05,4.680296672797693e-05,0.1831465921482001,0.42097300444187646,9.999000099990002e-05,0.12837356596599467,0.3647283586967814,0.00019998000199980003,0.08842108796186555,0.2545133166250369,0.00019998000199980003,1.1315355506051143,1.0508848593751763,1.1989306143290162,1.1256063870413173,0.9704612793977623,0.8808026908451732,1.043787121046118,0.9637343040661673
3mjg,plapt,plapt_affinity,275,0.25500519768114405,1.8647564567426967e-05,0.2346183193445143,8.567376165610302e-05,0.16305720114374772,5.943999690865232e-05,PLAPT,3.315122589764794e-05,0.00013707801864976484,9.962505802610127e-05,0.13144106213574958,0.3730293254478395,9.999000099990002e-05,0.11213416282236059,0.3481013711747241,9.999000099990002e-05,0.07946400212664781,0.24616038353890052,9.999000099990002e-05,1.1514980119223721,1.0563133705368544,1.2285324056911533,1.1451944902418956,0.980620716889866,0.8868788693868845,1.0588160185500441,0.9743446611630648
3mjg,qvina,qvina_affinity_bestpose,268,0.10238061991284517,0.0944047641751926,0.07955723349735712,0.19415705544274095,0.05942478076932866,0.15490722664797024,QVina2,0.11619047898485244,0.2251096294988301,0.1796025816208351,-0.01007718553793294,0.21077800185546222,0.09579042095790422,-0.03531673665724454,0.19467880817959743,0.18858114188581143,-0.01835728692964407,0.13892723153269043,0.15408459154084592,1.1823938590500407,1.0850012732674235,1.266462329044994,1.1770286137363264,1.000529963912303,0.9059289196430843,1.0822298020699455,0.9941375373561452
4ase,boltz2,boltz2_affinity_pred_value,850,0.6940286894398445,3.861099090358743e-123,0.7046910340398457,1.6001412175569597e-128,0.5128352805714016,5.0095814419072134e-110,Boltz-2,7.722198180717486e-122,3.2002824351139193e-127,1.0019162883814428e-108,0.6541915904497977,0.7318874589055249,9.999000099990002e-05,0.6669937889352422,0.7387676438847937,9.999000099990002e-05,0.48121332858437327,0.5434799033991019,9.999000099990002e-05,0.8614028085588155,0.8085058499854489,0.9123926385210909,0.8600871167026356,0.6662450664335479,0.6272668365881859,0.7050066861726777,0.6657505068125571
4ase,dynamicbind,dynamicbind_affinity_bestpose,851,0.3078048630315267,3.9249532403238097e-20,0.2471788985322822,2.5956617776590657e-13,0.17015713991814385,1.3748925811589583e-13,DynamicBind,1.495220282028118e-19,7.690849711582418e-13,4.230438711258333e-13,0.23645068608943462,0.3766649992103741,9.999000099990002e-05,0.17940774221400202,0.313641783003678,9.999000099990002e-05,0.12185156818070556,0.2175610047017032,9.999000099990002e-05,1.1381130463987468,1.0899344402596056,1.1837068370299466,1.1362339306356763,0.9658025298557712,0.9229962822092734,1.005979661275657,0.9639705382059554
4ase,gnina,gnina_cnn_affinity_bestpose,838,0.5586688713053716,5.958247583321817e-70,0.5485530582326361,5.1880638975083415e-67,0.3926883748251738,2.2633330652043508e-64,GNINA 1.3,7.944330111095756e-69,6.917418530011122e-66,3.6213329043269613e-63,0.5038304200901236,0.6086725377057332,9.999000099990002e-05,0.4941984839095619,0.5993554483041176,9.999000099990002e-05,0.3495475811874321,0.43286942627336417,9.999000099990002e-05,0.9933529366839173,0.9415718601080758,1.0414883162268347,0.9919220184350125,0.8000395654996848,0.7573377190934821,0.8426129764953164,0.7994202468827687
4ase,plapt,plapt_affinity,851,0.25511287786448544,4.1383375152446506e-14,0.2506053193212105,1.183770059573977e-13,0.17285086187921317,5.653738324223685e-14,PLAPT,1.141610349033007e-13,3.6423694140737753e-13,1.8091962637515792e-13,0.18823602227817607,0.3192870237342462,9.999000099990002e-05,0.18517799677969604,0.31481177096064616,9.999000099990002e-05,0.12524455251159908,0.21802529567532755,9.999000099990002e-05,1.1566082392713692,1.1074775076787213,1.2031141990071965,1.154743086830859,0.9726408472151818,0.9271207010268585,1.0142582768574941,0.9709587994388196
4ase,qvina,qvina_affinity_bestpose,838,0.4033183172259434,4.0194921039789884e-34,0.36570931443890614,6.464838506949677e-28,0.2554519802016402,1.0430486162621941e-27,QVina2,2.2968526308451366e-33,3.2324192534748384e-27,5.562925953398369e-27,0.33823341008114605,0.4619165388289806,9.999000099990002e-05,0.3020580845823104,0.42779150232651997,9.999000099990002e-05,0.20947560651459338,0.30003618027276385,9.999000099990002e-05,1.0959577661605668,1.047547186182853,1.1420774570676067,1.094434555263297,0.9138000825847393,0.8694787582318835,0.9572027370420918,0.9125690276796691
4f65,boltz2,boltz2_affinity_pred_value,133,0.48377488154720494,3.6584234455564918e-09,0.624905312066377,9.06090960719311e-16,0.46502891409233477,2.1183741648716024e-15,Boltz-2,8.216203647191237e-09,3.151620732936734e-15,7.061247216238674e-15,0.22057255703564738,0.7439629071973878,9.999000099990002e-05,0.482952476875166,0.740314028174168,9.999000099990002e-05,0.3555898228002699,0.5671469158408641,9.999000099990002e-05,0.4043039065116411,0.29356986805915986,0.4842452814608978,0.3913527769060075,0.27970804202452115,0.2200229711989547,0.3410463023611425,0.2775512336638956
4f65,dynamicbind,dynamicbind_affinity_bestpose,133,0.36062384510713363,2.0075942058398856e-05,0.13603450344830345,0.11845660925381687,0.09679076932198878,0.0986526890238834,DynamicBind,3.4914681840693666e-05,0.141440727467244,0.11957901699864655,0.04059931169884287,0.5653204647524216,0.00019998000199980003,-0.04622039041641303,0.31094695567879393,0.12118788121187882,-0.03310925640503915,0.2253135756816226,0.0963903609639036,0.4308753216400525,0.36417265181595476,0.491570087380978,0.4259476572032223,0.33855363882533346,0.2904649603034865,0.3805528106438665,0.334098063746999
