target,method_id,metric,n_points,pearson_r,pearson_p,spearman_rho,spearman_p,kendall_tau,kendall_p,method_label,pearson_p_bh,spearman_p_bh,kendall_p_bh
3eyg,boltz2,boltz2_affinity_pred_value,2232,0.6953137432334764,3.16e-322,0.5985793883630399,4.24172603348341e-217,0.445454077340224,5.927958885306878e-214,Boltz-2,1.265e-320,1.6966904133933638e-215,2.3711835541227512e-212
3eyg,dynamicbind,dynamicbind_affinity_bestpose,2234,0.16628648550107503,2.5677202353601464e-15,0.03435270800339155,0.10453420508780492,0.025733257519936204,0.07118405941744921,DynamicBind,7.608059956622655e-15,0.12865748318499065,0.09039245640311011
3eyg,gnina,gnina_cnn_affinity_bestpose,2195,0.04093694856025912,0.05515651802577262,0.020896026899358898,0.32780468863315015,0.023571284253973538,0.1015808905944101,GNINA 1.3,0.07214843830622317,0.36422743181461126,0.12129061563511652
3eyg,plapt,plapt_affinity,2234,0.21135991539515092,5.599414986329571e-24,0.13429710488394356,1.8546640389349713e-10,0.0906650142802627,2.0569555155461583e-10,PLAPT,2.3576484152966616e-23,4.6366600973374284e-10,5.308272298183634e-10
3eyg,qvina,qvina_affinity_bestpose,2201,-0.04075448465528317,0.055915039687322955,-0.12603258984006926,2.972520850787388e-09,-0.08777210390520784,1.7010761632851428e-09,QVina2,0.07214843830622317,6.794333373228316e-09,4.002532148906218e-09
3jy9,boltz2,boltz2_affinity_pred_value,2009,0.7503734740849952,0.0,0.6513671990686001,6.44368436317999e-243,0.47306666601872144,9.056659976892504e-218,Boltz-2,0.0,5.154947490543992e-241,7.245327981514003e-216
3jy9,dynamicbind,dynamicbind_affinity_bestpose,2014,0.2749211569911057,2.965091005771804e-36,0.17424904514569464,3.398011445818788e-15,0.11956797822886181,1.5671262479473372e-15,DynamicBind,2.156429822379494e-35,1.1326704819395959e-14,5.698640901626681e-15
3jy9,gnina,gnina_cnn_affinity_bestpose,1986,0.1228919753513684,3.928970382715896e-08,0.13593190947174053,1.1855801710324007e-09,0.09119701501501705,1.5758886299985414e-09,GNINA 1.3,8.27151659519136e-08,2.874133747957335e-09,3.820336072723737e-09
3jy9,plapt,plapt_affinity,2014,0.2695316222225098,7.331023035551296e-35,0.2263356973973397,8.247335951410021e-25,0.1552486128784043,4.16970395716521e-25,PLAPT,4.887348690367531e-34,3.8810992712517746e-24,1.8532017587400932e-24
3jy9,qvina,qvina_affinity_bestpose,1985,0.06727562002418988,0.0027098886447089825,0.028580048146678378,0.203090983835289,0.019237906920762812,0.21109920230684676,QVina2,0.004169059453398434,0.23210398152604458,0.23785825612039072
