canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value;is_mutant
CC1(C)CCN(c2ccc(C(=O)NS(=O)(=O)c3ccc(N[C@H](CCN4CCOCC4)CSc4ccccc4)c([N+](=O)[O-])c3)cc2)CC1;CHEMBL859053;1.1;0.0011;;;1681287;[];Binding affinity to Bcl-XL by fluorescence polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1149415;J Med Chem;2006.0;{'bei': '13.14', 'le': '0.26', 'lle': '3.32', 'sei': '6.68'};CHEMBL198903;;CHEMBL198903;8.96;0;http://www.openphacts.org/units/Nanomolar;425041;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC1=C[C@@H](/C=C(\Cl)c2ccc(C(=O)O)cc2)[C@]2(C(=O)O)C=C[C@@H](CC(=O)NCc3ccc(Cl)cc3)C[C@@H]2C1;CHEMBL4148754;14080.0;14.08;;;18394914;[];Inhibition of FITC-AhxBak-OH binding to human 45-84/C37 Bcl-xL after 2 hrs by fluorescent polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4145547;Eur J Med Chem;2018.0;{'bei': '8.75', 'le': '0.17', 'lle': '-1.70', 'sei': '4.68'};CHEMBL4175134;;CHEMBL4175134;4.85;0;http://www.openphacts.org/units/Nanomolar;3053251;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC1=C[C@@H](/C=C(\Cl)c2ccc(C(=O)O)cc2)[C@]2(C(=O)O)C=C[C@@H](CCOC(=O)Nc3ccc(Br)cc3)C[C@@H]2C1;CHEMBL4148754;2190.0;2.19;;;18394846;[];Inhibition of FITC-AhxBak-OH binding to human 45-84/C37 Bcl-xL after 2 hrs by fluorescent polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4145547;Eur J Med Chem;2018.0;{'bei': '9.20', 'le': '0.20', 'lle': '-1.94', 'sei': '5.01'};CHEMBL4169123;;CHEMBL4169123;5.66;0;http://www.openphacts.org/units/Nanomolar;3053233;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC1=C[C@@H](/C=C(\Cl)c2ccc(C(=O)O)cc2)[C@]2(C(=O)O)C=C[C@@H](CCOC(=O)Nc3ccc(Cl)cc3)C[C@@H]2C1;CHEMBL4148754;4400.0;4.4;;;18394856;[];Inhibition of FITC-AhxBak-OH binding to human 45-84/C37 Bcl-xL after 2 hrs by fluorescent polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4145547;Eur J Med Chem;2018.0;{'bei': '9.39', 'le': '0.19', 'lle': '-2.13', 'sei': '4.74'};CHEMBL4177395;;CHEMBL4177395;5.36;0;http://www.openphacts.org/units/Nanomolar;3053231;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC1=C[C@@H](/C=C(\Cl)c2ccc(C(=O)O)cc2)[C@]2(C(=O)O)C=C[C@@H](CCOC(=O)Nc3cccc(Br)c3)C[C@@H]2C1;CHEMBL4148754;840.0;0.84;;;18394853;[];Inhibition of FITC-AhxBak-OH binding to human 45-84/C37 Bcl-xL after 2 hrs by fluorescent polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4145547;Eur J Med Chem;2018.0;{'bei': '9.88', 'le': '0.21', 'lle': '-1.52', 'sei': '5.38'};CHEMBL4161200;;CHEMBL4161200;6.08;0;http://www.openphacts.org/units/Nanomolar;3053232;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC1=C[C@@H](/C=C(\Cl)c2ccc(C(=O)O)cc2)[C@]2(C(=O)O)C=C[C@@H](CCOC(=O)Nc3cccc(Cl)c3)C[C@@H]2C1;CHEMBL4148754;3920.0;3.92;;;18394859;[];Inhibition of FITC-AhxBak-OH binding to human 45-84/C37 Bcl-xL after 2 hrs by fluorescent polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4145547;Eur J Med Chem;2018.0;{'bei': '9.48', 'le': '0.19', 'lle': '-2.08', 'sei': '4.79'};CHEMBL4169534;;CHEMBL4169534;5.41;0;http://www.openphacts.org/units/Nanomolar;3053230;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC1=C[C@@H](/C=C(\Cl)c2ccc(C(=O)O)cc2)[C@]2(C(=O)O)C=C[C@@H](CCOC(=O)Nc3cccnc3)C[C@@H]2C1;CHEMBL4148754;8480.0;8.48;;;18394840;[];Inhibition of FITC-AhxBak-OH binding to human 45-84/C37 Bcl-xL after 2 hrs by fluorescent polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4145547;Eur J Med Chem;2018.0;{'bei': '9.44', 'le': '0.18', 'lle': '-1.16', 'sei': '4.03'};CHEMBL4165700;;CHEMBL4165700;5.07;0;http://www.openphacts.org/units/Nanomolar;3053235;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC1=C[C@@H](/C=C(\Cl)c2ccc(C(=O)O)cc2)[C@]2(C(=O)O)C=C[C@@H](CCOC(=O)c3ccc(Cl)cc3)C[C@@H]2C1;CHEMBL4148754;510.0;0.51;;;18394862;[];Inhibition of FITC-AhxBak-OH binding to human 45-84/C37 Bcl-xL after 2 hrs by fluorescent polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4145547;Eur J Med Chem;2018.0;{'bei': '11.33', 'le': '0.23', 'lle': '-0.80', 'sei': '6.24'};CHEMBL4162253;;CHEMBL4162253;6.29;0;http://www.openphacts.org/units/Nanomolar;3053229;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC1=C[C@@H](/C=C(\Cl)c2ccc(C(=O)O)cc2)[C@]2(C(=O)O)C=C[C@@H](CCOC(=O)c3ccc(Oc4cccnc4)cc3)C[C@@H]2C1;CHEMBL4148754;150.0;0.15;;;18394868;[];Inhibition of FITC-AhxBak-OH binding to human 45-84/C37 Bcl-xL after 2 hrs by fluorescent polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4145547;Eur J Med Chem;2018.0;{'bei': '11.11', 'le': '0.21', 'lle': '-0.81', 'sei': '5.55'};CHEMBL4172616;;CHEMBL4172616;6.82;0;http://www.openphacts.org/units/Nanomolar;3053227;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
CC1=C[C@@H](/C=C(\Cl)c2ccc(C(=O)O)cc2)[C@]2(C(=O)O)C=C[C@@H](CCn3cc(-c4ccccc4)nn3)C[C@@H]2C1;CHEMBL4148754;2440.0;2.44;;;18394937;[];Inhibition of FITC-AhxBak-OH binding to human 45-84/C37 Bcl-xL after 2 hrs by fluorescent polarization assay;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL4145547;Eur J Med Chem;2018.0;{'bei': '10.32', 'le': '0.20', 'lle': '-0.93', 'sei': '5.33'};CHEMBL4177447;;CHEMBL4177447;5.61;0;http://www.openphacts.org/units/Nanomolar;3053256;=;1;1;=;;Ki;nM;;CHEMBL4625;Homo sapiens;Bcl-2-like protein 1;9606;;;Ki;uM;UO_0000065;;False
