canonical_smiles;assay_chembl_id;standard_value;value;action_type;activity_comment;activity_id;activity_properties;assay_description;assay_type;assay_variant_accession;assay_variant_mutation;bao_endpoint;bao_format;bao_label;data_validity_comment;data_validity_description;document_chembl_id;document_journal;document_year;ligand_efficiency;molecule_chembl_id;molecule_pref_name;parent_molecule_chembl_id;pchembl_value;potential_duplicate;qudt_units;record_id;relation;src_id;standard_flag;standard_relation;standard_text_value;standard_type;standard_units;standard_upper_value;target_chembl_id;target_organism;target_pref_name;target_tax_id;text_value;toid;type;units;uo_units;upper_value
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2cccc3ccccc23)CC1;CHEMBL768689;22000.0;22000.0;;;309675;[];Binding affinity for Potassium channel HERG Kv11.1;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1146708;Bioorg Med Chem Lett;2004.0;{'bei': '11.72', 'le': '0.23', 'lle': '1.67', 'sei': '6.17'};CHEMBL3084949;;CHEMBL3084949;4.66;0;http://www.openphacts.org/units/Nanomolar;273685;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NC(=O)c2ccccc2C(F)(F)F)CC1;CHEMBL682313;39000.0;39000.0;;;685042;[];Binding affinity towards human ERG potassium ion channel was determined;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1147603;Bioorg Med Chem Lett;2004.0;{'bei': '10.61', 'le': '0.22', 'lle': '1.56', 'sei': '5.85'};CHEMBL283368;;CHEMBL283368;4.41;0;http://www.openphacts.org/units/Nanomolar;31199;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CCSC1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1;CHEMBL768689;2800.0;2800.0;;;341677;[];Binding affinity for Potassium channel HERG Kv11.1;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1146708;Bioorg Med Chem Lett;2004.0;{'bei': '11.88', 'le': '0.25', 'lle': '3.27', 'sei': '5.46'};CHEMBL25211;;CHEMBL25211;5.55;0;http://www.openphacts.org/units/Nanomolar;273711;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CC[C@@H](F)C1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1;CHEMBL682313;43000.0;43000.0;;;685047;[];Binding affinity towards human ERG potassium ion channel was determined;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1147603;Bioorg Med Chem Lett;2004.0;{'bei': '11.57', 'le': '0.22', 'lle': '2.00', 'sei': '5.16'};CHEMBL277693;;CHEMBL277693;4.37;0;http://www.openphacts.org/units/Nanomolar;31181;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CC[C@@H](F)C1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1;CHEMBL682313;73000.0;73000.0;;;706254;[];Binding affinity towards human ERG potassium ion channel was determined;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1147603;Bioorg Med Chem Lett;2004.0;{'bei': '10.79', 'le': '0.21', 'lle': '1.99', 'sei': '5.48'};CHEMBL23924;;CHEMBL23924;4.14;0;http://www.openphacts.org/units/Nanomolar;31201;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CC[C@@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1;CHEMBL682313;52000.0;52000.0;;;679302;[];Binding affinity towards human ERG potassium ion channel was determined;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1147603;Bioorg Med Chem Lett;2004.0;{'bei': '10.21', 'le': '0.21', 'lle': '2.58', 'sei': '4.63'};CHEMBL283309;;CHEMBL283309;4.28;0;http://www.openphacts.org/units/Nanomolar;31186;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CC[C@@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1;CHEMBL682313;6000.0;6000.0;;;679299;[];Binding affinity towards human ERG potassium ion channel was determined;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1147603;Bioorg Med Chem Lett;2004.0;{'bei': '11.17', 'le': '0.23', 'lle': '2.90', 'sei': '5.13'};CHEMBL281561;;CHEMBL281561;5.22;0;http://www.openphacts.org/units/Nanomolar;31192;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NC(=O)OCc2ccccc2)CC1;CHEMBL682313;37000.0;37000.0;;;711474;[];Binding affinity towards human ERG potassium ion channel was determined;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1147603;Bioorg Med Chem Lett;2004.0;{'bei': '11.74', 'le': '0.22', 'lle': '2.06', 'sei': '5.23'};CHEMBL23891;;CHEMBL23891;4.43;0;http://www.openphacts.org/units/Nanomolar;31182;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NC(=O)c2ccc(F)c(F)c2)CC1;CHEMBL682313;19000.0;19000.0;;;703650;[];Binding affinity towards human ERG potassium ion channel was determined;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1147603;Bioorg Med Chem Lett;2004.0;{'bei': '12.31', 'le': '0.24', 'lle': '2.57', 'sei': '6.26'};CHEMBL23660;;CHEMBL23660;4.72;0;http://www.openphacts.org/units/Nanomolar;31202;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(F)cc2F)CC1;CHEMBL682313;49000.0;49000.0;;;671631;[];Binding affinity towards human ERG potassium ion channel was determined;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1147603;Bioorg Med Chem Lett;2004.0;{'bei': '10.27', 'le': '0.21', 'lle': '2.61', 'sei': '4.66'};CHEMBL22310;;CHEMBL22310;4.31;0;http://www.openphacts.org/units/Nanomolar;31187;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
N[C@H](C(=O)N1CC[C@H](F)C1)[C@H]1CC[C@H](NS(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1;CHEMBL682313;5500.0;5500.0;;;686324;[];Binding affinity towards human ERG potassium ion channel was determined;B;;;BAO_0000192;BAO_0000357;single protein format;;;CHEMBL1147603;Bioorg Med Chem Lett;2004.0;{'bei': '11.25', 'le': '0.23', 'lle': '2.94', 'sei': '5.17'};CHEMBL281178;;CHEMBL281178;5.26;0;http://www.openphacts.org/units/Nanomolar;31193;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc(N2CCC3(CCNC3)CC2)nc1;CHEMBL940379;590.0;590.0;;;2401152;[];Displacement of [35S]MK499 from human ERG expressed in HEK293 cells;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL1152282;Bioorg Med Chem Lett;2008.0;{'bei': '14.57', 'le': '0.27', 'lle': '2.07', 'sei': '7.48'};CHEMBL471824;;CHEMBL471824;6.23;0;http://www.openphacts.org/units/Nanomolar;804550;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(N2CCC3(CC2)C(=O)NCN3c2ccccc2)nc1;CHEMBL940379;6330.0;6330.0;;;2401149;[];Displacement of [35S]MK499 from human ERG expressed in HEK293 cells;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL1152282;Bioorg Med Chem Lett;2008.0;{'bei': '9.91', 'le': '0.19', 'lle': '0.62', 'sei': '5.02'};CHEMBL521193;;CHEMBL521193;5.2;0;http://www.openphacts.org/units/Nanomolar;803747;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
Nc1ccc(-c2cccs2)cc1NC(=O)c1ccc(N2CCC3(CC2)CCN(c2ncccn2)C3)nc1;CHEMBL940379;760.0;760.0;;;2401132;[];Displacement of [35S]MK499 from human ERG expressed in HEK293 cells;B;;;BAO_0000192;BAO_0000219;cell-based format;;;CHEMBL1152282;Bioorg Med Chem Lett;2008.0;{'bei': '11.96', 'le': '0.23', 'lle': '1.19', 'sei': '6.10'};CHEMBL470798;;CHEMBL470798;6.12;0;http://www.openphacts.org/units/Nanomolar;804723;=;1;1;=;;Ki;nM;;CHEMBL240;Homo sapiens;Voltage-gated inwardly rectifying potassium channel KCNH2;9606;;;Ki;nM;UO_0000065;
